Country Name,iso3,gini
Albania,ALB,30.1
Argentina,ARG,43.3
Armenia,ARM,30
Austria,AUT,30.2
Belarus,BLR,25.3
Belgium,BEL,27.2
Bolivia,BOL,41.6
Brazil,BRA,53.5
Bulgaria,BGR,40.3
Canada,CAN,31.7
China,CHN,38.2
Colombia,COL,51.3
Costa Rica,CRI,48.2
Croatia,HRV,28.9
Cyprus,CYP,31.2
Czechia,CZE,25.3
Denmark,DNK,27.7
Dominican Republic,DOM,41.9
Ecuador,ECU,45.7
"Egypt, Arab Rep.",EGY,31.9
El Salvador,SLV,38.8
Estonia,EST,30.8
Fiji,FJI,30.7
Finland,FIN,27.7
France,FRA,31.2
Georgia,GEO,35.9
Germany,DEU,31.8
Greece,GRC,33.1
Honduras,HND,48.2
Iceland,ISL,26.8
Indonesia,IDN,35.4
"Iran, Islamic Rep.",IRN,36.5
Ireland,IRL,30.3
Israel,ISR,38.3
Italy,ITA,34.6
Japan,JPN,33
Kazakhstan,KAZ,28
Kiribati,KIR,27.8
"Korea, Rep.",KOR,33.2
Kosovo,XKX,40.2
Kyrgyz Republic,KGZ,29.7
Latvia,LVA,34.5
Lithuania,LTU,35.3
Luxembourg,LUX,34.2
Malawi,MWI,38.5
Maldives,MDV,29.3
Malta,MLT,31
Marshall Islands,MHL,35.5
Mauritania,MRT,32
Moldova,MDA,26
Montenegro,MNE,35.7
Mozambique,MOZ,50.7
Netherlands,NLD,29.2
North Macedonia,MKD,33.5
Norway,NOR,27.7
Panama,PAN,49.8
Paraguay,PRY,45.7
Peru,PER,41.5
Poland,POL,28.8
Portugal,PRT,32.8
Romania,ROU,34.8
Russian Federation,RUS,35.7
Serbia,SRB,34.5
Slovak Republic,SVK,23.2
Slovenia,SVN,24.4
Spain,ESP,34.3
Sri Lanka,LKA,37.7
Sweden,SWE,29.3
Switzerland,CHE,34
Thailand,THA,34.9
Turkiye,TUR,43.8
Uganda,UGA,42.7
Ukraine,UKR,26.6
United Kingdom,GBR,32.8
United States,USA,41.9
Uruguay,URY,39.7
Vanuatu,VUT,32.3
Zimbabwe,ZWE,50.3
